City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,korla,41.7597,86.1469,51.85,34,50,4.09,CN,1635043818
97,orlik,52.5178,99.825,32.59,65,58,3.98,RU,1635044217
98,mar del plata,-38.0023,-57.5575,53.01,73,20,1.99,AR,1635044217
99,kahului,20.8947,-156.47,82.42,70,1,23.02,US,1635043557
100,george town,5.4112,100.3354,87.73,77,20,1.01,MY,1635044003
101,termoli,41.9888,14.9895,60.22,83,100,13.49,IT,1635044218
102,coquimbo,-29.9533,-71.3436,55.13,76,0,1.14,CL,1635043534
103,arrecife,28.963,-13.5477,69.87,68,20,6.91,ES,1635044218
104,general roca,-39.0333,-67.5833,61.2,39,2,32.14,AR,1635044218
105,severnyy,50.677,36.5532,35.64,75,0,8.95,RU,1635044219
106,east london,-33.0153,27.9116,58.82,66,17,15.41,ZA,1635044151
107,qaanaaq,77.484,-69.3632,-1.59,59,0,7.87,GL,1635043651
108,mataura,-46.1927,168.8643,66.97,56,99,3.89,NZ,1635043716
109,lavrentiya,65.5833,-171.0,24.17,83,100,9.75,RU,1635044219
110,faya,18.3851,42.4509,55.51,30,6,4.61,SA,1635043649
111,arraial do cabo,-22.9661,-42.0278,70.92,89,22,31.9,BR,1635044220
112,merauke,-8.4667,140.3333,86.27,63,72,15.3,ID,1635044220
113,kununurra,-15.7667,128.7333,94.98,43,2,10.36,AU,1635044220
114,lufilufi,-13.8745,-171.5986,78.58,66,90,14.07,WS,1635044220
115,dalvik,65.9702,-18.5286,30.13,95,100,1.23,IS,1635044221
116,taicheng,38.731,113.228,50.14,50,48,3.13,CN,1635044221
117,najran,17.4924,44.1277,59.65,34,9,2.98,SA,1635044222
118,chokurdakh,70.6333,147.9167,-2.11,97,99,5.48,RU,1635043744
119,victoria,22.2855,114.1577,76.24,71,10,1.99,HK,1635043684
120,bethel,41.3712,-73.414,54.01,82,90,0.0,US,1635043439
121,hasaki,35.7333,140.8333,70.29,45,20,4.7,JP,1635043660
122,kloulklubed,7.0419,134.2556,84.7,71,9,4.65,PW,1635044191
123,muravlenko,63.7898,74.523,33.06,98,100,19.98,RU,1635044223
124,sturgis,41.7992,-85.4192,41.14,53,1,5.75,US,1635044223
125,bathsheba,13.2167,-59.5167,83.01,69,20,20.71,BB,1635043781
126,ampanihy,-24.7,44.75,67.42,69,0,4.74,MG,1635043757
127,thomasville,35.8826,-80.082,55.6,93,7,3.58,US,1635044013
128,tuktoyaktuk,69.4541,-133.0374,30.2,86,90,4.61,CA,1635043763
129,mabaruma,8.2,-59.7833,73.6,98,100,4.47,GY,1635044224
130,escanaba,45.7453,-87.0646,45.03,82,61,5.86,US,1635044224
131,kasamwa,-2.85,32.4333,67.14,89,67,2.59,TZ,1635044224
